m1,m2,m3,m4,m5,,n,m,k,k1,k2,k3,k4,k5,l
4,6,10,8,10,2.5,1,0.48416,0.3081,3,3,4,2,3,0.9774
10,9,13,10,12,1.2,2,0.52267,0.9774,5,4,4,3,3,0.8299
12,12,14,14,16,1.333333333,3,0.56654,0.8299,8,4,5,3,4,1.1948
16,15,16,16,18,1.0625,4,0.49184,1.1948,9,5,7,4,6,0.9607
17,17,18,18,18,1.176470588,5,0.54735,0.9607,10,6,8,5,8,
20,20,21,24,22,1,6,,,11,8,10,7,8,
20,20,24,24,25,1.4,7,,,12,8,12,8,10,
28,20,24,26,26,0.857142857,8,,,12,11,13,8,11,
24,20,24,26,27,0.916666667,9,,,8,11,13,10,11,
22,22,25,24,27,1.136363636,10,,,6,8,12,10,10,
25,,27,23,25,0.84,11,,,6,7,10,9,9,
21,,,24,24,1.095238095,12,,,,7,,7,,
23,,,,,,13,,,,,,8,,
